Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
395299494172," New Front, Driver Side Bumper Bracket For Buick LaCrosse 2017-2019",,CAR-GM1042132,10,FIXED_PRICE,USD,12.39,,,12.39,0,0,,Mar-27-24 10:42:03 PDT,Apr-27-25 10:42:03 PDT,Bumpers & Reinforcements,33640,,,New,,,,,,US,,,
395301590431," New Front, Passenger Side Bumper Retainer For BMW 740i 2013-2015",,CAR-BM1043114,0,FIXED_PRICE,USD,12.41,,,12.41,0,,,Mar-28-24 08:03:12 PDT,Apr-28-25 08:03:12 PDT,Bumpers & Reinforcements,33640,,,New,,,,,,US,,,
395299566245," New Front, Driver Side Bumper Bracket For Hyundai Santa Fe 2013-2016",,CAR-HY1042142,9,FIXED_PRICE,USD,12.42,,,12.42,0,,,Mar-27-24 11:26:05 PDT,Apr-27-25 11:26:05 PDT,Bumpers & Reinforcements,33640,,,New,,,,,,US,,,
395299785984," New Front, Passenger Side Bumper Bracket For Ford Escape 2013-2016",,CAR-FO1043129,0,FIXED_PRICE,USD,12.44,,,12.44,0,,,Mar-27-24 14:18:21 PDT,Apr-27-25 14:18:21 PDT,Bumpers & Reinforcements,33640,,,New,,,,,,US,,,
395234806131,"New Front, Driver Side, Lower Side Marker For Chevrolet C1500 1988-1993",,CAR-GM2550105,10,FIXED_PRICE,USD,12.46,,,12.46,0,,,Feb-29-24 05:25:45 PST,Apr-29-25 05:25:45 PDT,Side Marker Light Assemblies,33715,,,New,,,,,,US,,,
395255851451,"New Front, Driver Side, Outer Fog Light Trim For BMW 535d xDrive 2014-2016",,CAR-BM1038141,0,FIXED_PRICE,USD,12.47,,,12.47,0,,,Mar-08-24 10:15:49 PST,Apr-08-25 10:15:49 PDT,Body Moldings & Trims,33654,,,New,,,,,,US,,,
395258172211,"New Front, Driver Side Fender Liner For Buick LeSabre 1997-1999",,CAR-GM1248144,3,FIXED_PRICE,USD,12.5,,,12.5,0,,,Mar-09-24 11:23:55 PST,Apr-09-25 11:23:55 PDT,Fenders,33644,,,New,,,,,,US,,,
395643221954," Passenger Side, Lower Headlight Filler For Toyota RAV4 1996-2000",,CAR-TO1089105,8,FIXED_PRICE,USD,12.53,,,12.53,0,,,Sep-02-24 19:54:05 PDT,May-02-25 19:54:05 PDT,Headlight Assemblies,33710,,,New,,,,,,US,,,
395350515833, New Passenger Side Engine Splash Shield For Kia Rio 2006-2011,,CAR-KI1228107,0,FIXED_PRICE,USD,12.56,,,12.56,0,,,Apr-19-24 13:14:03 PDT,Apr-19-25 13:14:03 PDT,Splash Guards & Mud Flaps,50455,,,New,,,,,,US,,,
395617718001, Passenger Side Headlight Filler For BMW 740i 1995-2001,,CAR-BM2513104,0,FIXED_PRICE,USD,12.57,,,12.57,0,,,Aug-25-24 10:05:25 PDT,Apr-25-25 10:05:25 PDT,Headlight Assemblies,33710,,,New,,,,,,US,,,
395617722807," Driver Side, Lower Headlight Filler For Toyota RAV4 1996-2000",,CAR-TO1088105,0,FIXED_PRICE,USD,12.58,,,12.58,0,,,Aug-25-24 10:10:36 PDT,Apr-25-25 10:10:36 PDT,Headlight Assemblies,33710,,,New,,,,,,US,,,
